Token,Attribution_Score,Frequency,Final_Importance
Duration,1.1907507513342352e-07,1,8.253655260369617e-08
new,2.0808343326184087e-08,4,3.3489736644105756e-08
Interrupted,1.5696826508732054e-08,3,2.1760422076532464e-08
verify,1.6744932440637683e-08,1,1.1606702709894773e-08
Subscriber,1.6606135133656608e-08,1,1.1510495747891528e-08
stor,1.3146523647478148e-08,1,9.112475800414127e-09
blockexpression,1.0702423308694975e-08,1,7.418354541580963e-09
get,6.457664000758534e-09,2,7.0944690273229936e-09
println,1.0233014269278584e-08,1,7.0929849893801395e-09
ATEST,8.303067566828304e-09,1,5.755247873945764e-09
expect,7.44219219583897e-09,1,5.1585345377310104e-09
bridge,7.2096236897190025e-09,1,4.997330333426916e-09
Predicates,6.980980377102597e-09,1,4.838846865932969e-09
Strict,6.9791560031173824e-09,1,4.83758230624883e-09
Services,6.977055183599035e-09,1,4.836126129122822e-09
Other,6.977055183599035e-09,1,4.836126129122822e-09
Count,4.351487867954028e-09,2,4.780598045724488e-09
enting,6.5159341255949235e-09,1,4.516501367870454e-09
SF,6.5159341255949235e-09,1,4.516501367870454e-09
channel,6.511918171359099e-09,1,4.513717720514634e-09
That,6.282882339392337e-09,1,4.3549621793396715e-09
Grid,3.956013100436806e-09,2,4.346124606271903e-09
await,3.778324059872106e-09,2,4.150913242745878e-09
Reference,3.6068291825452903e-09,2,3.962506863071008e-09
Answer,5.5847843016820775e-09,1,3.871077492746375e-09
when,5.5847843016820775e-09,1,3.871077492746375e-09
inv,5.5847843016820775e-09,1,3.871077492746375e-09
tables,5.535378377885536e-09,1,3.836831915963842e-09
MINUTES,5.4684346287303676e-09,1,3.790430044980825e-09
run,4.843456080649844e-09,1,3.3572279264683624e-09
OSQLite,4.670475506340921e-09,1,3.2373269290944922e-09
return,2.8211223669638574e-09,2,3.0993197001829578e-09
Resp,3.953664604039453e-09,1,2.7404714731695992e-09
thread,2.428841940939341e-09,2,2.668355603548463e-09
Indicator,3.7225820204156435e-09,1,2.580297231854248e-09
final,3.373258734840068e-09,1,2.338164781353601e-09
DECODER,3.3150991014807567e-09,1,2.2978515954681946e-09
Computation,3.0251463417618747e-09,1,2.096871657573476e-09
Thread,3.024300934684199e-09,1,2.09628566604116e-09
Object,3.024300934684199e-09,1,2.09628566604116e-09
DEFAULT,3.024300934684199e-09,1,2.09628566604116e-09
Observable,2.908622995234644e-09,1,2.0161038284587164e-09
long,1.8005266340381796e-09,2,1.9780806862285724e-09
Equals,2.7919365153117326e-09,1,1.935222923890686e-09
After,2.7919365153117326e-09,1,1.935222923890686e-09
shared,2.7919365153117326e-09,1,1.935222923890686e-09
function,2.7919365153117326e-09,1,1.935222923890686e-09
Stop,2.791662401246953e-09,1,1.935032922499532e-09
Throwable,1.7452041131682527e-09,2,1.9173026849607725e-09
Get,2.6756058271737437e-09,1,1.8545886353952407e-09
Streamer,2.559831263626577e-09,1,1.7743398230919638e-09
Power,2.559023867809707e-09,1,1.7737801789579044e-09
noop,2.385168295510054e-09,1,1.6532726791937644e-09
stop,2.3271193305696154e-09,1,1.6130362028108762e-09
cl,2.3269697280170476e-09,1,1.6129325062233592e-09
Down,1.451103692068356e-09,2,1.5942003482379604e-09
Data,2.0362294142484134e-09,1,1.4114066774595167e-09
byte,1.861575782413638e-09,1,1.2903460049786874e-09
Exchange,1.6289835313987309e-09,1,1.1291253419676134e-09
Assertions,1.565811449250054e-09,1,1.0853377913361568e-09
Timelock,1.5419918258929854e-09,1,1.0688272865642049e-09
map,1.4547092697103636e-09,1,1.0083276288341555e-09
reset,1.3962715983417693e-09,1,9.678217216865258e-10
NT,1.3961818368102286e-09,1,9.677595037340155e-10
ACHE,1.338093615077529e-09,1,9.274958166162539e-10
Overwrite,1.338093615077529e-09,1,9.274958166162539e-10
Descriptors,1.163767415768291e-09,1,8.066621030673244e-10
Subscription,1.0471660413791104e-09,1,7.258401891600493e-10
Cache,1.0471363776076714e-09,1,7.258196278005116e-10
fail,9.889856676659203e-10,1,6.855126271568277e-10
Service,9.310139326146327e-10,1,6.453296824538595e-10
Background,9.310139326146327e-10,1,6.453296824538595e-10
shards,9.310139326146327e-10,1,6.453296824538595e-10
Local,9.30787891206819e-10,1,6.451730024893437e-10
Exception,8.728255618262182e-10,1,6.049965773004933e-10
Set,8.146371910378036e-10,1,5.646634721471271e-10
scheduler,8.14462476628197e-10,1,5.645423693467052e-10
build,8.144587851366403e-10,1,5.645398105997405e-10
catch,7.82905724625027e-10,1,5.426688956680784e-10
never,7.562419787610074e-10,1,5.241869953992663e-10
Element,6.4007207867256e-10,1,4.4366415668702845e-10
Then,5.799301663889088e-10,1,4.019769597541321e-10
in,5.235830206895552e-10,1,3.6292009458002467e-10
Inner,4.944659091898894e-10,1,3.427376508379818e-10
atch,4.654071295018269e-10,1,3.2259563962668865e-10
count,4.654071295018269e-10,1,3.2259563962668865e-10
track,4.6537967923754304e-10,1,3.2257661255339466e-10
OFF,4.0722939256832014e-10,1,2.8226990529987023e-10
cluster,3.563257184972801e-10,1,2.4698616713738644e-10
Tokens,3.490537650585601e-10,1,2.419456331141745e-10
Mode,3.054220444262401e-10,1,2.1170242897490267e-10
Mill,3.017860677068801e-10,1,2.091821619632967e-10
List,2.908622995234644e-10,1,2.0161038284587165e-10
Source,2.472329545949447e-10,1,1.713688254189909e-10
